,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,EducationTypes,SelfTaughtTypes,LanguageWorkedWith,Salary,LanguageDesireNextYear,FrameworkWorkedWith,FrameworkDesireNextYear,OperatingSystem,Age,ConvertedSalary
51201,Hungary,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer,21-23 years,6-8 years,"Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;The technology’s online help system,C++;C#;JavaScript;Lua;Python;Ruby;Scala;SQL;Bash/Shell,,C++;Go;Python;Rust,,,Linux-based,25 - 34 years old,
89600,India,"Yes, full-time",,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",,Student,3-5 years,,Taken an online course in programming or software development (e.g. a MOOC),,C;C++;JavaScript;HTML;CSS;Bash/Shell,,CoffeeScript;JavaScript;Python;HTML;CSS;Bash/Shell,,Angular;Node.js;React,Linux-based,18 - 24 years old,
63878,Germany,No,Employed part-time,"Professional degree (JD, MD, etc.)",I never declared a major,Fewer than 10 employees,Data or business analyst;Data scientist or machine learning specialist;Database administrator;Marketing or sales professional;Mobile developer;Product manager;System administrator,0-2 years,0-2 years,,,,,,,,,,
23963,India,"Yes, full-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Database administrator,3-5 years,3-5 years,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",SQL,,JavaScript;Python;R;Ruby,,,Windows,,
80245,Malaysia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",,Back-end developer;Database administrator;Front-end developer;Full-stack developer;Mobile developer,6-8 years,6-8 years,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon","A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",C++;JavaScript;PHP;Ruby;SQL;HTML;CSS;Bash/Shell,,C++;JavaScript;PHP;Ruby;SQL;TypeScript;HTML;CSS;Bash/Shell,Angular;Node.js;React;Cordova,Angular;Node.js;React;Cordova,MacOS,25 - 34 years old,
48200,Canada,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Front-end developer;Full-stack developer,6-8 years,,,,,,,,,,,
85722,France,No,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,Front-end developer;Student;System administrator,0-2 years,0-2 years,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",Haskell;JavaScript;Rust;HTML;CSS;Bash/Shell,,Assembly;C;Kotlin,Node.js,React;TensorFlow;Torch/PyTorch,Linux-based,Under 18 years old,
41987,United States,No,Employed part-time,,,Fewer than 10 employees,Back-end developer;Database administrator;Front-end developer;Full-stack developer,12-14 years,3-5 years,,,,,,,,,,
30727,Russian Federation,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Desktop or enterprise applications developer;Front-end developer;Mobile developer,3-5 years,0-2 years,"Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon",The official documentation and/or standards for the technology;A college/university computer science or software engineering book,Java,,Java,,,Windows,18 - 24 years old,
51232,Kuwait,"Yes, part-time",Employed part-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",Fewer than 10 employees,Back-end developer,9-11 years,,,,,,,,,,,
61086,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Full-stack developer,6-8 years,3-5 years,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow",C++;Java;JavaScript;SQL;HTML;CSS,87500,Clojure;Go;Java;JavaScript;Scala;SQL;TypeScript,Angular;Spring,Angular;Spark;Spring,MacOS,25 - 34 years old,87500.0
69181,Poland,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer,3-5 years,3-5 years,"Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Internal Wikis, chat rooms, or documentation set up by my company for employees",Java,8000,Java;SQL,Spring,Spring,Windows,25 - 34 years old,28236.0
483,India,"Yes, full-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data or business analyst;Database administrator;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;QA or test developer;Student;System administrator,3-5 years,3-5 years,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)",,C;C++;C#;JavaScript;SQL;VB.NET;Visual Basic 6;HTML;CSS,380000,C#;JavaScript;PHP;SQL;VBA;VB.NET;HTML;CSS,.NET Core,Angular;.NET Core;Node.js,Windows,25 - 34 years old,
3220,India,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Mobile developer,3-5 years,3-5 years,"Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow,C++;C#;Java;PHP;VB.NET,,Java;Kotlin,,React,Linux-based,18 - 24 years old,
98566,Viet Nam,,,,,,,,,,,,,,,,,,
