,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,EducationTypes,SelfTaughtTypes,LanguageWorkedWith,Salary,LanguageDesireNextYear,FrameworkWorkedWith,FrameworkDesireNextYear,OperatingSystem,Age,ConvertedSalary
89245,India,No,"Not employed, and not looking for work","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,Student,0-2 years,,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;Pre-scheduled tutoring or mentoring sessions with a friend or colleague;Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",,,Assembly;C;C++;C#;CoffeeScript;Clojure;Erlang;F#;Go;Groovy;Hack;Haskell;Java;JavaScript;Julia;Lua;Matlab;Objective-C;Perl;PHP;Python;R;Ruby;Rust;Scala;SQL;Swift;TypeScript;VBA;VB.NET;Visual Basic 6;Kotlin;Ocaml;Delphi/Object Pascal;Cobol;HTML;CSS;Bash/Shell,,,Windows,Under 18 years old,
61680,Italy,No,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Database administrator;Front-end developer;Full-stack developer;System administrator,30 or more years,0-2 years,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",JavaScript;PHP;SQL;VBA;Visual Basic 6;HTML;CSS,1150,JavaScript;PHP;Ruby;SQL;VBA;Visual Basic 6;HTML;CSS;Bash/Shell,,,Windows,45 - 54 years old,16884.0
69398,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A business discipline (ex. accounting, finance, marketing)","1,000 to 4,999 employees",Front-end developer,0-2 years,0-2 years,"Taken an online course in programming or software development (e.g. a MOOC);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",Go;JavaScript;Ruby;SQL;TypeScript;CSS,105000,C;C++;Go;JavaScript;Rust;SQL,Angular;Node.js;React,Node.js;React,MacOS,25 - 34 years old,105000.0
88937,Germany,"Yes, full-time",Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,Back-end developer;Student,3-5 years,,,,Java;VBA;HTML;CSS,1100,C;C++;Java;PHP;Python;HTML;CSS,Spring,,Windows,18 - 24 years old,16152.0
67003,Sweden,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Desktop or enterprise applications developer;DevOps specialist;Front-end developer;Full-stack developer;Mobile developer,9-11 years,,,,C#;JavaScript;R;SQL;TypeScript;HTML;CSS,,C#;JavaScript;R;SQL;TypeScript;HTML;CSS,.NET Core;Node.js;React;Xamarin,.NET Core;Node.js;React;Xamarin,Windows,,
52382,France,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Information systems, information technology, or system administration","1,000 to 4,999 employees",Back-end developer;Full-stack developer;Mobile developer;Product manager;QA or test developer,9-11 years,3-5 years,"Taken an online course in programming or software development (e.g. a MOOC);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",C#;Java;SQL,52000,C#;F#;Java;JavaScript;SQL;TypeScript;Kotlin,.NET Core;Xamarin,Angular;.NET Core;Node.js;React;Xamarin,Windows,25 - 34 years old,63642.0
32023,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,3-5 years,3-5 years,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow",Java;JavaScript;SQL;TypeScript;HTML;CSS,76000,C++;C#,Angular;Node.js,,Windows,25 - 34 years old,76000.0
4646,Germany,"Yes, full-time",Employed part-time,Some college/university study without earning a degree,"Another engineering discipline (ex. civil, electrical, mechanical)",500 to 999 employees,Student,9-11 years,3-5 years,,,,,,,,,,
80790,United States,No,"Not employed, but looking for work","Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",,Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Game or graphics developer,30 or more years,27-29 years,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",JavaScript;Python;HTML;CSS;Bash/Shell,0,Go;Haskell;JavaScript;Rust;TypeScript;Kotlin;Ocaml;HTML;CSS,Node.js;React,Node.js;React;TensorFlow,Windows,45 - 54 years old,0.0
66972,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",100 to 499 employees,Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Mobile developer,3-5 years,3-5 years,"Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow",C#;F#;Java;JavaScript;SQL;TypeScript;VB.NET;HTML;CSS,47000,C#;F#;TypeScript;HTML;CSS,Angular;.NET Core;Spring,Angular;.NET Core;Xamarin,Windows,25 - 34 years old,47000.0
76366,United Kingdom,No,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",,Back-end developer;Designer;Engineering manager;Full-stack developer;Mobile developer,15-17 years,9-11 years,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",JavaScript;Ruby;Swift;CSS;Bash/Shell,110000,JavaScript;Lua;Python;R;Ruby;Swift;CSS;Bash/Shell,React,React;TensorFlow;Torch/PyTorch,MacOS,25 - 34 years old,110000.0
69745,Netherlands,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Front-end developer;Full-stack developer,30 or more years,15-17 years,"Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",JavaScript;Python;HTML;CSS,57616,Clojure;JavaScript;Python;HTML;CSS,Angular;Django;React,Django;React,Linux-based,35 - 44 years old,70515.0
634,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Web development or web design,100 to 499 employees,Designer;Front-end developer,21-23 years,15-17 years,"Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Tapping your network of friends, family, and peers versed in the technology",JavaScript;R;Ruby;TypeScript;HTML;CSS;Bash/Shell,140000,JavaScript;HTML;CSS;Bash/Shell,Angular;.NET Core,,MacOS,35 - 44 years old,140000.0
87040,Netherlands,"Yes, full-time","Not employed, and not looking for work","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,Back-end developer;Data scientist or machine learning specialist;Desktop or enterprise applications developer;Student,6-8 years,0-2 years,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Internal Wikis, chat rooms, or documentation set up by my company for employees",C#;PHP;SQL,,C#;Haskell;Python;Bash/Shell,,,Windows,18 - 24 years old,
